54,11,1,0,0,12,3.083333,1,5,0,0,0,3,16,50,140.096405,200,12.5,2500,0
48,13,1,0,0,8,5.375,2,0,0,0,0,1.5,8,10,19.60964,30,2.5,75,0
70,11,0,0,0,11,4,2,2,0,0,0,2,13,26,63.615491,96.211433,5.571429,536.035145,0
27,0,0,0,0,7,1.571429,1,2,0,0,0,4,11,16,35.60964,55.350906,3.333333,184.503015,0
25,3,0,0,0,6,2,2,2,0,0,0,4,12,22,53.563523,78.869175,5.5,433.780463,0
36,8,1,0,0,7,3,4,1,0,0,0,8,10,28,64.912609,93.013987,7,651.097907,0
29,4,1,0,0,8,3,2,1,0,0,0,1.5,9,14,27.651484,44.37895,2.8,124.261058,0
71,15,3,1,0,13,2.692308,1,4,0,0,0,6,19,40,110.438562,169.917101,7.272727,1235.760768,0
44,9,1,0,0,11,4.363636,2,2,0,0,0,2,14,28,72.954453,106.605938,7,746.241565,0
80,25,1,0,0,24,5.125,2,4,0,0,0,3,16,44,117.75898,176,8.555555,1505.77774,0
26,2,0,0,0,6,1.5,1,2,0,0,0,3,14,20,48.729056,76.147098,3.75,285.551619,0
82,23,1,0,0,25,3.56,2,4,0,0,0,3,16,48,129.690584,192,9.333333,1791.999939,0
53,12,1,0,0,12,4,0,3,0,0,0,1.5,12,22,53.563523,78.869175,5.5,433.780463,0
30,1,0,0,0,8,2.25,1,3,0,0,0,4,16,28,72.954453,112,5.444445,609.777802,0
105,49,1,0,0,24,5.583333,2,4,0,0,0,3,16,40,106.090046,160,7.777778,1244.444427,0
83,21,1,0,0,24,4.291667,2,6,0,0,0,4,16,48,129.690584,192,9.333333,1791.999939,0
65,15,2,0,0,10,3.9,2,1,0,0,0,1.5,16,24,67.01955,96,6,576,0
55,12,1,0,0,11,5.363636,1,2,0,0,0,2,9,18,36.529325,57.05865,3.6,205.411135,0
63,15,1,0,0,14,4.214286,3,4,0,0,0,3.5,19,40,114.967887,169.917101,9,1529.253905,0
52,11,1,0,0,14,5.071429,1,3,0,0,0,2,10,22,46.053748,73.082418,3.666667,267.968872,0
37,5,1,0,0,7,3.571429,2,3,0,0,0,2.5,17,40,110.438562,163.498514,8.888889,1453.320191,0
33,1,0,0,0,7,1.571429,2,2,0,1,0,4,16,34,89.138353,136,6.611111,899.111118,0
48,15,1,0,0,10,4.5,2,0,0,0,0,2,14,16,43.651484,60.917679,4,243.670715,0
53,14,1,1,0,9,4.222222,1,1,0,0,0,1.5,12,18,44.0391,64.529325,4.5,290.381963,0
74,23,1,0,0,22,4.181818,2,4,0,0,0,3,16,44,117.75898,176,8.555555,1505.77774,0
57,14,0,2,0,10,4.9,3,3,0,0,0,3,18,30,82.603359,125.09775,6,750.5865,0
40,6,1,0,0,7,3.571429,2,3,0,0,0,3,17,34,93.486868,138.973737,7.555555,1050.023758,0
53,14,1,0,0,12,4.166667,0,3,0,0,0,1.5,13,20,48.729056,74.008794,4.285714,317.180537,0
65,13,0,2,0,11,4.909091,3,3,0,0,0,4,18,42,116.238666,175.13685,8.4,1471.149474,0
18,4,1,0,0,3,1.333333,0,0,0,0,0,0,4,8,10,16,2,32,0
52,11,0,2,0,8,4.875,2,1,0,0,0,2,17,18,52.529325,73.574331,4,294.297325,0
36,1,0,1,0,6,1.833333,1,1,0,0,0,2,10,14,31.261125,46.506993,3.5,162.774477,0
73,10,5,1,0,11,4,5,4,0,0,0,6,22,60,185.260466,267.565897,15,4013.488457,0
56,12,1,0,0,11,4.272727,2,3,0,0,0,2.5,16,24,62.671034,96,4.666667,447.999985,0
59,13,1,0,0,13,4.538462,2,3,0,0,0,1.666667,11,22,49.663388,76.107496,4.583333,348.826034,0
53,16,0,0,0,8,2.625,2,3,0,0,0,5,10,28,64.912609,93.013987,7,651.097907,0
52,13,1,0,0,11,5,1,2,0,0,0,2,14,18,48.180809,68.532389,4.5,308.395749,0
41,2,0,0,0,9,1.777778,3,1,0,0,0,6,15,20,52.870765,78.137812,4.375,341.852927,0
47,9,0,0,0,8,1.75,2,4,0,0,0,6,15,46,123.693409,179.716967,10.0625,1808.401984,0
