23,3,0,0,0,1,1,2,1,0,0,0,4,16,1,4,0.17,1,0,0,44,1,0,0,4,1,0,0,0,107,0,12,17776.21,1,96.36,15,0,96.36,0,1,517.22,0,0,4,0,0,0
30,3,0,0,0,1,4,4,0,0,1,0,5,14,1,6,0.15,1,0,0,44,1,0,0,6,1,0,0,0,91,0,14,9642.53,1,95.49,22,0,95.49,0,1,422.92,0,0,6,0,0,0
21,3,0,0,0,3,2.333333,2,1,0,0,0,3,10,1,4,0.12,1,0,0,4,1,0,0,4,0,0,0,1,72,0,11,4856.11,1,102.21,13,0,102.21,0,1,348.79,0,0,4,0,0,0
28,6,0,0,0,4,3.5,2,2,0,0,0,4,16,1,5,0.21,1,0,0,43,1,0,0,5,0,0,0,1,129,0,17,18210.56,1,90.4,15,0,90.4,0,1,637,0,0,5,0,0,0
25,4,0,0,0,3,3.333333,1,0,0,1,0,2,8,1,3,0.1,1,0,0,2,1,0,0,3,1,0,0,0,66,0,10,5706.87,1,103.43,14,0,103.43,0,1,306.31,0,0,3,0,0,0
31,5,0,0,0,4,3,2,1,0,0,0,5,12,1,4,0.26,1,0,0,49,1,0,0,4,1,0,0,0,151,0,14,30320.71,1,92.03,19,0,92.03,0,1,789.52,0,0,4,0,0,0
32,7,0,0,0,3,1.666667,3,0,0,1,0,4,22,1,5,0.25,1,0,0,45,1,0,0,5,1,0,0,0,145,0,11,30035.03,1,95.74,18,0,95.74,0,1,741.3,0,0,5,0,0,0
22,4,0,0,0,3,2.333333,0,1,0,0,0,1,8,1,2,0.11,1,0,0,4,1,0,0,2,0,0,0,1,68,0,11,3388.49,1,103.9,11,0,103.9,0,1,319.29,0,0,2,0,0,0
16,4,0,0,0,2,2,0,0,0,0,0,0,4,1,1,0.05,1,0,0,2,1,0,0,1,1,0,0,0,37,0,5,1460.47,1,119.78,7,0,119.78,0,1,147.95,0,0,1,0,0,0
34,4,0,0,0,4,1.5,1,2,0,0,0,4,11,1,4,0.18,1,0,0,10,1,0,0,4,0,0,0,1,103,0,18,9655.31,1,91.88,23,0,91.88,0,1,532.04,0,0,4,0,0,0
