78,24,1,0,0,22,4.181818,2,4,0,0,0,1
55,15,1,0,0,8,5.375,3,0,0,1,0,1
63,14,1,0,0,14,5.142857,3,3,0,0,0,1
36,2,2,0,0,14,3.571429,2,2,0,0,0,1
15,3,0,0,0,6,1.833333,0,0,0,0,2,1
29,5,0,0,0,9,4.222222,2,2,0,0,0,1
36,2,2,0,0,14,3.571429,2,2,0,0,0,1
13,1,0,0,0,6,1.833333,0,0,0,0,2,1
29,5,0,0,0,9,4.222222,2,2,0,0,0,1
41,5,0,0,0,15,3.6,2,2,0,0,0,1
38,4,0,0,0,6,2.333333,4,0,0,1,0,1
43,6,0,0,0,14,3,2,2,0,0,0,1
74,22,1,0,0,22,4.181818,2,4,0,0,0,1
55,17,2,0,0,8,5.375,5,0,0,0,0,1
66,16,1,0,0,13,5.153846,3,3,0,0,0,1
43,6,0,2,0,15,5,2,2,0,0,0,0
30,2,0,0,0,6,2.5,3,0,0,0,2,0
48,6,0,0,0,12,4.666667,2,2,0,0,0,0
45,3,0,0,0,15,3.8,2,4,0,0,0,0
34,3,0,0,0,7,2.428571,2,0,0,1,0,0
44,5,0,0,0,12,4.416667,2,3,0,0,0,0
44,3,1,0,0,15,1.2,2,4,0,0,0,0
38,2,1,0,0,5,1.8,3,0,0,1,0,0
39,2,1,0,0,10,1.6,2,3,0,0,0,0
75,23,1,0,0,22,3.772727,2,4,0,0,0,0
49,14,1,0,0,9,4.888889,2,1,0,0,0,0
68,20,1,0,0,13,6.153846,3,3,0,0,0,0
